id_endereco,latitude_radar,longitude_radar,nome_endereco,osm_id_completo,osm_type,linestring
64,-23.193204,-45.921545,Av. Linneu de Moura interseção Av. Mario Fowler,W129955002,way,"LINESTRING(-45.9134968 -23.198449, -45.9135442 -23.1984572, -45.9136858 -23.1984775, -45.9138454 -23.1985214, -45.9138893 -23.1985357, -45.9140302 -23.1985814, -45.9142305 -23.1986464, -45.9142705 -23.1986594, -45.9144925 -23.1986927, -45.9147191 -23.1986878, -45.9149384 -23.1986385, -45.9151154 -23.1985633, -45.9152877 -23.1984665, -45.9162852 -23.1977057, -45.9164698 -23.1975649, -45.9167019 -23.1973879, -45.9167281 -23.1973516, -45.9167479 -23.1973126, -45.9168059 -23.1971346, -45.916826 -23.1970113, -45.9168863 -23.1968597, -45.9170097 -23.1966798, -45.9171532 -23.1965232, -45.9172525 -23.1964388, -45.9173289 -23.1963888, -45.9174838 -23.196297, -45.9176052 -23.1962286, -45.9177393 -23.1961793, -45.9179351 -23.1961349, -45.9181161 -23.1960918, -45.9182623 -23.1960609, -45.9183562 -23.1960443, -45.9184065 -23.1960252, -45.9184441 -23.1960073, -45.9204885 -23.1943179, -45.9210411 -23.1938704, -45.9212194 -23.1937052, -45.9213549 -23.1935512, -45.9216258 -23.1932047, -45.9217009 -23.1931061, -45.9217814 -23.1930285, -45.9220388 -23.1928024, -45.9223638 -23.1925797, -45.9227376 -23.192401, -45.923042 -23.1922925, -45.923325 -23.1922321, -45.9235717 -23.1922112, -45.9237809 -23.1922198, -45.9239666 -23.1922568, -45.9241135 -23.1922969, -45.9246044 -23.1925157, -45.9253541 -23.1929089, -45.9254949 -23.1929829, -45.9267783 -23.1936485, -45.927076 -23.1938051, -45.9276594 -23.1941059, -45.9278485 -23.1942255, -45.9279907 -23.1943592, -45.928051 -23.1944196, -45.9281355 -23.1945262, -45.9281791 -23.194599, -45.928281 -23.1947999, -45.9284057 -23.1950933, -45.9284581 -23.1951956, -45.9285519 -23.1953632, -45.9287162 -23.1955475, -45.9287518 -23.1955864, -45.928959 -23.1957718, -45.9290461 -23.1958385, -45.9290931 -23.1958705, -45.929147 -23.1959021, -45.929199 -23.1959247, -45.929246 -23.1959407, -45.9293083 -23.1959589, -45.9293731 -23.1959734, -45.929453 -23.1959824, -45.9295423 -23.1959833, -45.9296449 -23.1959747, -45.9297442 -23.1959611, -45.9298751 -23.1959294)"
21,-23.192843,-45.92504,Av. Linneu de Moura,W129955142,way,"LINESTRING(-45.9298787 -23.1960057, -45.9296223 -23.1960796, -45.9295125 -23.1960887, -45.9294316 -23.1960854, -45.929356 -23.1960771, -45.9292803 -23.1960569, -45.9292147 -23.1960333, -45.9291319 -23.1959903, -45.9290254 -23.1959229, -45.9288986 -23.1958266, -45.9286934 -23.1956468, -45.9285083 -23.1954569, -45.9284051 -23.1953065, -45.9283407 -23.195166, -45.9281959 -23.1948233, -45.9281114 -23.1946532, -45.9280242 -23.1945299, -45.9278472 -23.194345, -45.9276755 -23.1942144, -45.9274542 -23.1940972, -45.9269875 -23.1938544, -45.9261869 -23.1934464, -45.9253956 -23.1930334, -45.9249518 -23.1928226, -45.9248176 -23.1927647, -45.9246527 -23.1926968, -45.9245306 -23.1926611, -45.9243684 -23.1926118, -45.9241039 -23.192557, -45.924035 -23.1925385, -45.9237984 -23.192475, -45.9236146 -23.1924245, -45.9233759 -23.1923751, -45.9232713 -23.1923652, -45.9231922 -23.1923653, -45.9231036 -23.192385, -45.9230373 -23.1924097, -45.9229627 -23.1924413, -45.9229334 -23.1924577, -45.9228408 -23.1925157, -45.9225131 -23.1927621, -45.9220127 -23.1932045, -45.9218948 -23.1932974, -45.9218404 -23.1933496, -45.9214984 -23.1936251, -45.9208667 -23.194154, -45.9201962 -23.1947259, -45.9198126 -23.1950336, -45.919413 -23.195354, -45.9191181 -23.1955906, -45.9188925 -23.1957716, -45.9185197 -23.1960706, -45.9184822 -23.1961007, -45.9183007 -23.196248, -45.9181329 -23.196382, -45.917683 -23.1967443, -45.9175559 -23.1968446, -45.9167231 -23.1975261, -45.9163621 -23.1977897, -45.9162278 -23.1978878, -45.9158637 -23.1981648, -45.9156754 -23.1983045, -45.9155285 -23.1984135, -45.9154534 -23.1984807, -45.9153088 -23.198585, -45.9151335 -23.1986883, -45.9149661 -23.1987666, -45.9146583 -23.1988311, -45.9145102 -23.1988283, -45.9144519 -23.1988191, -45.9143359 -23.1988049, -45.9141776 -23.1987751, -45.9140318 -23.1987476, -45.9138635 -23.1987352, -45.9137367 -23.1987511, -45.913605 -23.1987676, -45.913494 -23.1987816, -45.9133709 -23.1988758, -45.9132289 -23.1989894, -45.9130331 -23.1991607, -45.9129656 -23.1992197)"
49,-23.20811,-45.908222,Av. São João interseção R. Barão de Jaceguai,W302197150,way,"LINESTRING(-45.908918 -23.2094427, -45.9089096 -23.2093896, -45.9088895 -23.2092629, -45.9088082 -23.2089992, -45.908798 -23.2089828, -45.9087481 -23.2089024, -45.9083253 -23.2082214, -45.9081176 -23.2079327, -45.9080103 -23.2077836, -45.9077973 -23.2074875, -45.9077372 -23.207404, -45.9073648 -23.2069575)"
15,-23.206139,-45.845545,Av. Isaur de P. Nogueira inters. Av. Madre Teresa de Calcutá,W551694062,way,"LINESTRING(-45.8533555 -23.1974514, -45.8532643 -23.1976795, -45.85309 -23.198175, -45.852918 -23.1985516, -45.8526997 -23.1989553, -45.8524463 -23.1993312, -45.8520788 -23.1997331, -45.8517408 -23.2000684, -45.8512178 -23.200448, -45.8507431 -23.2007241, -45.8502965 -23.2009214, -45.8496755 -23.2011383, -45.8490291 -23.2013281, -45.848498 -23.2015525, -45.8480769 -23.2017941, -45.8477095 -23.2020603, -45.8474439 -23.2023093, -45.8472401 -23.2025694, -45.8470682 -23.2028457, -45.8467653 -23.2034248, -45.8464515 -23.2041213, -45.8461645 -23.2048066, -45.8454752 -23.2062562, -45.8447215 -23.2079818, -45.8444278 -23.2085932, -45.8441663 -23.2091219, -45.8438685 -23.2095819, -45.8436645 -23.2098423, -45.843436 -23.2101011, -45.843081 -23.2104812, -45.8427793 -23.2107345)"
13,-23.206139,-45.845545,Av. Isaur de P. Nogueira inters. Av. Madre Teresa de Calcutá,W551694062,way,"LINESTRING(-45.8533555 -23.1974514, -45.8532643 -23.1976795, -45.85309 -23.198175, -45.852918 -23.1985516, -45.8526997 -23.1989553, -45.8524463 -23.1993312, -45.8520788 -23.1997331, -45.8517408 -23.2000684, -45.8512178 -23.200448, -45.8507431 -23.2007241, -45.8502965 -23.2009214, -45.8496755 -23.2011383, -45.8490291 -23.2013281, -45.848498 -23.2015525, -45.8480769 -23.2017941, -45.8477095 -23.2020603, -45.8474439 -23.2023093, -45.8472401 -23.2025694, -45.8470682 -23.2028457, -45.8467653 -23.2034248, -45.8464515 -23.2041213, -45.8461645 -23.2048066, -45.8454752 -23.2062562, -45.8447215 -23.2079818, -45.8444278 -23.2085932, -45.8441663 -23.2091219, -45.8438685 -23.2095819, -45.8436645 -23.2098423, -45.843436 -23.2101011, -45.843081 -23.2104812, -45.8427793 -23.2107345)"
66,-23.2445,-45.90733,R. Bacabal interseção R. Coari,W126508967,way,"LINESTRING(-45.9069396 -23.243243, -45.9073184 -23.2446764, -45.9073269 -23.2447091, -45.9076959 -23.2461205, -45.9079932 -23.2472863, -45.9081353 -23.2480095, -45.9081992 -23.2483349, -45.9083288 -23.248827, -45.9085306 -23.2496405, -45.9085831 -23.2498292, -45.9086107 -23.2499473, -45.9088252 -23.250844, -45.9088338 -23.2508769, -45.9089732 -23.2514234, -45.9091988 -23.2522794, -45.9094765 -23.2533661, -45.9094922 -23.2534346, -45.9095287 -23.2535805, -45.9096434 -23.2540582, -45.9098897 -23.2549798, -45.9100229 -23.2554457, -45.910198 -23.2561659, -45.9104767 -23.2571895, -45.9106318 -23.2577538, -45.910665 -23.2578966)"
22,-23.254255,-45.886008,Av. Cidade Jardim,W126677749,way,"LINESTRING(-45.8856381 -23.2479762, -45.8857211 -23.2492495, -45.8857356 -23.2496082, -45.8858372 -23.2511292, -45.8858435 -23.2512119, -45.8859306 -23.2526023, -45.8859625 -23.2530531, -45.8860656 -23.2548909, -45.8860727 -23.2550252, -45.8861856 -23.2568537, -45.8863018 -23.2586032, -45.8863062 -23.2586724, -45.8864314 -23.2606468, -45.8865498 -23.2624711, -45.8865578 -23.2625969, -45.8866136 -23.2634328, -45.8866806 -23.2644378, -45.8867821 -23.2662701, -45.8868255 -23.2670718, -45.8868435 -23.2673363, -45.8869009 -23.2681182, -45.8869118 -23.2683155, -45.886938 -23.2686979)"
10,-23.212741,-45.891231,Av. Gov. Mário Covas Jr. Inters. Av. Dr. Sebastião H. C. Pontes,W339656169,way,"LINESTRING(-45.8929156 -23.2114695, -45.892661 -23.2115636, -45.8924495 -23.2116615, -45.8922194 -23.2118052, -45.8920223 -23.2119506, -45.8918828 -23.2120616, -45.8916736 -23.2122625, -45.8915486 -23.2124178, -45.8913812 -23.2126039, -45.8911385 -23.2128504, -45.8902976 -23.213569, -45.8897746 -23.2140324, -45.8871869 -23.2164286)"
56,-23.201947,-45.90928,Av. Dr. Eduardo Cury,W129113313,way,"LINESTRING(-45.906117 -23.2047504, -45.9061943 -23.2046922, -45.9062239 -23.20467, -45.9064676 -23.2044096, -45.9066688 -23.2042172, -45.9069094 -23.2039961, -45.9073857 -23.2035642, -45.9074856 -23.2034784, -45.9078552 -23.2031319, -45.9084124 -23.2026154, -45.9084637 -23.2025672, -45.9087937 -23.2022525, -45.9091806 -23.2018997, -45.90978 -23.2013346, -45.9112488 -23.1999732, -45.9116539 -23.1995889, -45.9118047 -23.1994458, -45.9123508 -23.19893, -45.9125685 -23.198725)"
44,-23.22613,-45.912229,Av. Cassiano Ricardo interseção Av. Campos Eliseos,W730048115,way,"LINESTRING(-45.9119206 -23.2251129, -45.911953 -23.2252785, -45.9119922 -23.2254785, -45.9120478 -23.225762, -45.91209 -23.2259853, -45.9121376 -23.2262374, -45.912146 -23.2262819)"
