id;Easting_31983;Northing_31983;Latitude_4326;Longitude_4326
39;414226.149;7427976.934;-23.25524020922731;-45.83853310436689
40;414154.985;7428032.426;-23.254735279452163;-45.839225615231555
41;414105.114;7428066.058;-23.254428903267478;-45.83971121392341
42;413824.829;7428173.335;-23.253445285126507;-45.84244497251862
43;413775.07;7428187.132;-23.253318058355894;-45.84293059035959
44;412544.741;7428617.869;-23.249362568357185;-45.85493239258007
45;412327.46;7428697.269;-23.248633841522;-45.85705168998158
46;412056.896;7428786.146;-23.24781663952953;-45.85969123988043
47;411719.219;7428906.161;-23.246714548887812;-45.862984950796765
48;411490.928;7429093.382;-23.245011269587604;-45.86520549544968
49;411384.645;7429176.074;-23.24425865974966;-45.86623953206385
50;411325.599;7429235.139;-23.24372199365844;-45.86681322470668
51;411286.235;7429298.142;-23.243150819062798;-45.86719430446345
52;411262.617;7429424.148;-23.242011442145987;-45.867417795824515
53;411238.998;7429585.594;-23.240551966085295;-45.86763922347138
54;411195.698;7429813.98;-23.23848681605874;-45.86804909814371
55;411164.207;7430022.678;-23.236600127302438;-45.86834469272574
56;411128.779;7430203.811;-23.23496219590417;-45.86868037052978
57;411096.159;7430424.829;-23.232964168689733;-45.86898626411082
58;411082.453;7430498.521;-23.232297831715663;-45.86911591087243
59;411063.608;7430568.786;-23.23166216995634;-45.86929598285592
60;411039.623;7430623.627;-23.23116554176331;-45.86952719115463
61;410967.668;7430738.449;-23.230124561519528;-45.870223716221886
62;410894.0;7430837.848;-23.229222788252287;-45.87093787607952
63;410821.142;7430919.318;-23.228482992985192;-45.87164516154763
64;410683.275;7431110.338;-23.226750197119983;-45.87298135070778
65;410510.241;7431363.976;-23.22444990458982;-45.87465750823731
66;410359.477;7431545.636;-23.222800923030505;-45.876120210915644
67;410212.141;7431735.864;-23.221074728320502;-45.87754887140167
68;410075.941;7431902.956;-23.21955809704712;-45.87887003564895
69;410047.673;7431943.231;-23.219192783673797;-45.87914390575323
70;409931.175;7432090.615;-23.217855222916373;-45.880273663755034
71;409828.382;7432215.72;-23.216719631899956;-45.88127078955866
72;409757.129;7432311.07;-23.215854514800277;-45.8819614453564
73;409686.184;7432414.517;-23.21491627862948;-45.88264860197527
74;409634.788;7432498.492;-23.21415498612299;-45.8831458692993
75;409615.548;7432545.645;-23.213728038380186;-45.8833310855861
76;409645.451;7432593.513;-23.213297329753562;-45.88303602732469
77;409602.018;7432833.792;-23.211124715867328;-45.88344618882391
78;409569.114;7432958.21;-23.209999150236328;-45.88376033373599
79;409482.247;7433093.819;-23.208769540580636;-45.88460112330087
80;409665.852;7433195.855;-23.207858018487116;-45.88280092055635
81;409692.833;7433157.016;-23.208210297030725;-45.88253957368423
82;409765.88;7433201.78;-23.207809986082022;-45.88182312376093
83;409741.351;7433239.245;-23.207470253196707;-45.882060593083345
84;409751.327;7433254.546;-23.207332599140244;-45.88196220366285
85;409746.672;7433281.822;-23.207085983571595;-45.882006073906965
86;409722.73;7433316.416;-23.206772213863346;-45.882237975826385
87;409689.477;7433378.951;-23.206205566500156;-45.88255920287977
88;409684.157;7433402.901;-23.20598895519391;-45.88260976712032
89;409684.157;7433426.851;-23.20577263556575;-45.88260834647103
90;409695.463;7433451.466;-23.205550929405252;-45.88249640923199
91;409577.499;7433570.697;-23.20446754801287;-45.883642019881336
92;409878.678;7433885.102;-23.2016443012669;-45.880680450415966
93;410051.581;7434054.768;-23.200121301237974;-45.87898094723479
94;410216.688;7434207.929;-23.198746932355238;-45.877358630580225
95;410442.593;7434384.635;-23.197163188470736;-45.87514090697352
96;410697.777;7434539.596;-23.19577740275784;-45.8726384290376
97;411112.783;7434769.142;-23.193726537331315;-45.86857006557351
98;411120.938;7434773.677;-23.193686016160175;-45.86849012073329
99;411577.057;7435020.862;-23.191477926138212;-45.86401915941157
100;411572.607;7435028.153;-23.191411833681112;-45.86406221537901
101;412041.042;7435278.416;-23.189176468789146;-45.859470889080434
102;412392.958;7435466.939;-23.187492426786292;-45.85602168279321
103;412608.319;7435583.157;-23.186454149283374;-45.85391087519923
104;412722.391;7435645.805;-23.185894340550828;-45.85279277720675
105;412881.907;7435735.044;-23.185096749110933;-45.85122917330404
106;413302.871;7435976.64;-23.182936782736164;-45.84710255080326
107;413699.732;7436200.428;-23.180936289036975;-45.843212549016286
108;413704.348;7436166.061;-23.18124694216566;-45.84316939646455
109;413702.76;7436145.423;-23.18143326679044;-45.84318607917743
110;413697.462;7436130.342;-23.181569205012266;-45.843238693771966
111;413689.732;7436109.536;-23.18175672559774;-45.843315393019985
112;413683.468;7436083.624;-23.181990441565656;-45.84337805884058
113;413631.054;7436062.776;-23.18217600177837;-45.84389132152988
114;413565.572;7436026.721;-23.18249822885126;-45.84453312164158
115;413507.382;7435975.64;-23.182956554283216;-45.8451045344337
116;413438.896;7435898.682;-23.183648064558792;-45.84577801273791
117;413355.097;7435839.829;-23.184175238315962;-45.84660007852759
118;413318.584;7435785.854;-23.184660834722226;-45.846959883018656
119;413301.122;7435703.939;-23.18539979290134;-45.84713514795383
120;413294.772;7435662.664;-23.185772264816986;-45.84719953639426
121;413305.091;7435626.151;-23.18610260169418;-45.84710079436475
122;413316.203;7435598.37;-23.186354110662275;-45.84699380747122
123;413327.316;7435528.52;-23.186985597006423;-45.84688920265289
124;413338.428;7435501.532;-23.187229943267393;-45.846782169624504
125;413374.147;7435384.851;-23.188285711424044;-45.846439815579984
126;413371.766;7435332.463;-23.18875876736086;-45.846466056653966
127;413381.291;7435298.332;-23.189067547256226;-45.84637493321991
128;413406.932;7435261.078;-23.189405381394884;-45.84612652594341
129;413431.957;7435207.759;-23.189888285767175;-45.84588504863951
130;413444.71;7435184.675;-23.1900974556729;-45.84576175646228
131;413471.583;7435136.035;-23.19053819466739;-45.845501954996834
132;413489.241;7435111.8;-23.190758017825964;-45.84533080234049
133;413524.306;7435023.033;-23.1915616226744;-45.8449932346325
134;413557.133;7434977.329;-23.19197615407064;-45.8446750868439
135;413639.26;7434825.256;-23.193354019181147;-45.84388127076697
136;413705.141;7434718.893;-23.19431816619898;-45.84324358721249
137;413721.81;7434706.193;-23.194433748360165;-45.84308143632849
