id;Easting_31983;Northing_31983;Latitude_4326;Longitude_4326
36;406641.134;7443405.641;-23.11547341560974;-45.91173299690503
37;406653.787;7443402.873;-23.115499130604174;-45.91160960995236
38;406666.441;7443404.85;-23.115481987928806;-45.911485923779765
39;406677.908;7443413.154;-23.11540763167893;-45.911373442776174
40;406702.82;7443424.226;-23.11530903255044;-45.91112950362385
41;406722.196;7443430.157;-23.115256555299087;-45.91093993680162
42;406741.967;7443427.389;-23.11528267091749;-45.91074704310193
43;406748.294;7443420.667;-23.11534374178759;-45.910685670011325
44;406748.689;7443413.55;-23.115408045997643;-45.910682246553
45;406740.385;7443404.059;-23.115493302237343;-45.91076391301558
46;406734.058;7443383.893;-23.11567508827904;-45.910826924890536
47;406724.964;7443357.004;-23.115917441548003;-45.910917366415255
48;406711.124;7443334.465;-23.11612023720352;-45.911053887738
49;406692.934;7443317.066;-23.11627636204938;-45.91123257382334
50;406690.957;7443287.805;-23.116540540761594;-45.9112536635217
51;406687.398;7443272.779;-23.116676057346712;-45.9112893335341
52;406674.745;7443248.658;-23.116893208467356;-45.91141436159446
53;406664.464;7443231.259;-23.117049779088333;-45.91151581731508
54;406670.0;7443222.56;-23.11712866222314;-45.911462288558624
55;406679.885;7443207.138;-23.11726851392409;-45.91136670148914
56;406685.026;7443189.74;-23.11742594553374;-45.911317560282136
57;406685.026;7443171.946;-23.117586663875233;-45.911318645469386
58;406677.908;7443157.71;-23.117714844234698;-45.91138902168599
59;406664.859;7443148.22;-23.11779982327853;-45.91151702541697
60;406658.928;7443139.916;-23.117874491718837;-45.91157544886242
61;406661.3;7443132.008;-23.117946051909936;-45.911552768421274
62;406667.627;7443125.681;-23.11800355539543;-45.91149137044594
63;406701.238;7443105.514;-23.11818760307157;-45.911164384559655
64;406728.127;7443088.116;-23.11834626102249;-45.9109028703228
65;406742.758;7443074.671;-23.11846852338851;-45.910760815887706
66;406753.039;7443057.273;-23.118626244575687;-45.91066148059874
67;406757.784;7443045.015;-23.118737228329987;-45.91061589189179
68;406764.901;7443040.269;-23.118780496143636;-45.91054668231712
69;406772.019;7443039.083;-23.118791609475345;-45.91047724600827
70;406779.137;7443044.619;-23.118742008558968;-45.9104074001226
71;406784.673;7443056.877;-23.118631604242335;-45.910352593261265
72;406786.254;7443073.485;-23.11848168711841;-45.91033614270419
73;406789.418;7443088.511;-23.118346148075673;-45.91030433033148
74;406792.186;7443096.815;-23.118271300933394;-45.91027679451892
75;406804.048;7443100.374;-23.11823982378618;-45.91016074355781
76;406824.215;7443097.21;-23.118269537626308;-45.90996400254628
77;406840.823;7443090.884;-23.118327610510562;-45.90980220813523
78;406853.872;7443078.626;-23.118439061652875;-45.90967552890775
79;406862.176;7443054.109;-23.118660970887042;-45.909595931455
80;406862.176;7443038.292;-23.118803832684964;-45.90959689430744
81;406857.035;7443031.175;-23.118867825148204;-45.909647530407234
82;406855.849;7443022.871;-23.118942761484245;-45.9096596174664
83;406857.035;7443009.426;-23.119064265756812;-45.90964885445769
84;406866.921;7442996.377;-23.119182683151582;-45.90955310995469
85;406897.368;7442965.139;-23.119466544003718;-45.90925768937658
86;406913.976;7442946.949;-23.119631773852184;-45.90909661506638
87;406917.14;7442935.482;-23.119735523777805;-45.909066415491964
88;406921.094;7442921.247;-23.119864319194008;-45.90902866971981
89;406933.352;7442915.711;-23.119915011019938;-45.90890930385332
90;406970.917;7442912.548;-23.119945692947297;-45.908542663801185
91;406984.757;7442908.989;-23.119978616777736;-45.90840772880016
92;407018.368;7442883.682;-23.12020908365529;-45.90808104618024
93;407044.466;7442872.214;-23.120314131469915;-45.90782688834364
94;407056.724;7442869.446;-23.120339821362016;-45.907707353436294
95;407070.959;7442872.61;-23.12031204340173;-45.907568152139426
96;407089.544;7442869.446;-23.120341665251193;-45.90738685614497
97;407099.034;7442859.956;-23.120427913605116;-45.90729475968321
98;407110.897;7442842.558;-23.12058572159074;-45.907179970163305
99;407114.456;7442825.159;-23.12074307221532;-45.90714627177914
100;407114.456;7442813.692;-23.120846644126864;-45.90714696801684
101;407106.943;7442808.156;-23.120896224293126;-45.90722067118724
102;407093.894;7442805.388;-23.120920492420634;-45.90734826728007
103;407081.24;7442801.038;-23.120959071527857;-45.90747210219145
104;407078.868;7442796.688;-23.120998228212063;-45.90749552982133
105;407081.24;7442787.198;-23.121084076767655;-45.907472942820796
106;407094.685;7442770.986;-23.121231261590516;-45.907342632141685
107;407111.293;7442745.679;-23.121460771547483;-45.907181985537655
108;407133.832;7442703.764;-23.121840620675723;-45.906964428012905
109;407140.949;7442685.97;-23.12200173872397;-45.90689600770838
110;407139.368;7442666.989;-23.12217308958928;-45.90691259908387
111;407135.809;7442656.313;-23.122269317210726;-45.90694800239346
112;407125.132;7442649.195;-23.122333008657964;-45.90705270022206
113;407112.479;7442646.427;-23.122357299115674;-45.90717643053933
114;407101.802;7442649.986;-23.122324553931872;-45.90728048012313
115;407095.476;7442659.081;-23.12224205100831;-45.907341703974566
116;407085.59;7442678.457;-23.122066488335115;-45.907437068238046
117;407078.472;7442683.993;-23.122016086348584;-45.90750624228433
118;407071.75;7442682.015;-23.12203357430208;-45.90757200563659
119;407068.587;7442677.27;-23.12207625422053;-45.9076031819445
120;407069.773;7442668.967;-23.122151314959478;-45.90759210455445
121;407082.031;7442636.937;-23.122441304050955;-45.907474345441464
122;407092.708;7442619.539;-23.122599045550714;-45.907371136356275
123;407112.874;7442601.349;-23.122764473436632;-45.907175310486515
124;407125.923;7442586.718;-23.12289735594647;-45.90704876906091
125;407131.064;7442570.901;-23.12304050646543;-45.906999524972065
126;407128.296;7442560.62;-23.12313321076056;-45.90702718009391
127;407113.665;7442543.617;-23.123285963041646;-45.90717109174946
128;407111.688;7442533.732;-23.1233751349879;-45.90719099846624
129;407115.247;7442524.241;-23.12346105919339;-45.90715681930359
130;407122.364;7442521.869;-23.12348288320746;-45.90708746204576
131;407133.436;7442528.986;-23.12341922303423;-45.90697890596601
132;407153.208;7442540.454;-23.12331675226768;-45.90678512581813
133;407171.397;7442546.385;-23.123264203525018;-45.906607140796524
134;407187.609;7442543.222;-23.12329368218654;-45.90644901412823
135;407199.472;7442536.895;-23.12335149444756;-45.90633354960607
136;407201.845;7442525.823;-23.123451631797458;-45.906311047733524
137;407197.495;7442511.588;-23.123579960648904;-45.906354391460965
138;407188.4;7442505.261;-23.12363659679425;-45.9064435929733
139;407168.629;7442501.307;-23.123671200304297;-45.90663690754749
140;407153.208;7442494.98;-23.12372748113735;-45.906787886114046
141;407148.067;7442487.467;-23.12379505118552;-45.906838546888636
142;407148.067;7442473.627;-23.123920056402387;-45.906839387046176
143;407149.649;7442456.624;-23.12407371918986;-45.90682497007971
144;407148.462;7442434.876;-23.124270084144868;-45.906837882049395
145;407143.322;7442411.546;-23.124480516024004;-45.90688949354659
146;407125.132;7442380.703;-23.12475807368306;-45.907069002777696
147;407096.662;7442322.575;-23.125281496254118;-45.90735056096344
148;407090.335;7442303.595;-23.125452571289365;-45.90741350130408
149;407092.708;7442283.824;-23.12563127956022;-45.90739152838506
150;407102.989;7442268.798;-23.125767574480033;-45.907292040038186
151;407132.646;7442250.213;-23.12593710310819;-45.90700354723937
152;407180.096;7442223.324;-23.126182633209226;-45.90654179615752
153;407210.149;7442216.997;-23.12624146642611;-45.90624869053665
154;407242.969;7442200.389;-23.126393314046005;-45.90592918639512
155;407291.21;7442162.033;-23.126742457330383;-45.90546040213076
156;407314.145;7442130.004;-23.127033034429108;-45.90523836528213
157;407324.821;7442099.952;-23.12730506758242;-45.905135926823895
158;407320.076;7442070.69;-23.1275691009517;-45.90518403902928
159;407306.237;7442037.87;-23.127864760950235;-45.905321177775484
160;407287.652;7442003.864;-23.12817086683278;-45.905504737894894
161;407276.184;7441980.929;-23.128377376490793;-45.90561812365724
162;407275.394;7441949.691;-23.12865947900549;-45.9056277329065
163;407278.161;7441922.802;-23.128902500102292;-45.905602341086485
164;407287.242;7441905.57;-23.129058651639177;-45.90551470148015
165;407332.412;7441933.128;-23.12881227550375;-45.905071903838596
166;407330.602;7441939.283;-23.128756581064344;-45.905089207154106
167;407325.755;7441956.001;-23.12860530961015;-45.90513552937195
168;407326.966;7441969.923;-23.12847963164814;-45.90512285912865
169;407328.781;7441979.002;-23.1283977303258;-45.90510458381127
170;407329.991;7441984.449;-23.128348599925356;-45.90509243698383
171;407334.631;7441997.479;-23.128231170830066;-45.905046333658696
172;407339.963;7442009.298;-23.12812471845411;-45.90499354581168
173;407345.723;7442018.345;-23.128043327212684;-45.90493674621451
174;407349.354;7442023.793;-23.12799432342585;-45.904900956263525
175;407354.751;7442032.684;-23.12791432082503;-45.90484771123693
176;407365.691;7442043.767;-23.12781483024495;-45.90474020136135
177;407370.532;7442049.214;-23.12776590322732;-45.90469259492648
178;407379.003;7442057.688;-23.127689839160467;-45.90460935516825
179;407384.448;7442066.767;-23.127608141089496;-45.904555630291725
180;407388.684;7442076.452;-23.12752090178576;-45.90451367567375
181;407391.104;7442086.136;-23.1274335697894;-45.904489455912376
182;407397.155;7442112.769;-23.127193354879235;-45.9044287501678
183;407405.021;7442136.375;-23.126980581954182;-45.904350503020034
184;407408.047;7442146.059;-23.126893283854784;-45.904320365406186
185;407412.042;7442162.055;-23.126749028937233;-45.90428038264822
186;407413.925;7442168.774;-23.12668844720955;-45.904261586915815
187;407416.518;7442175.112;-23.126631346490186;-45.90423588057097
188;407417.728;7442184.797;-23.126543937650705;-45.904223477680816
189;407420.69;7442193.776;-23.12646300361495;-45.90419400794225
190;407420.148;7442197.508;-23.126429265201452;-45.90419907506235
191;407425.014;7442223.335;-23.126196263708337;-45.9041499915357
192;407426.645;7442227.415;-23.126159503753286;-45.90413381665255
193;407429.225;7442236.851;-23.126074420604287;-45.904108049906526
194;407434.065;7442257.431;-23.125888809422406;-45.90405953817014
195;407437.091;7442270.141;-23.12577417988429;-45.90402921787118
196;407445.562;7442305.853;-23.125452097038764;-45.90394433140049
197;407449.192;7442320.38;-23.125321089809756;-45.903908002889864
