id;Easting_31983;Northing_31983;Latitude_4326;Longitude_4326
67;402658.136;7466438.192;-22.90720955764306;-45.94916987059889
68;402675.815;7466423.348;-22.90734466288269;-45.94899843598283
69;402693.457;7466409.127;-22.907474138664277;-45.948827322613084
70;402709.961;7466398.889;-22.907567572335655;-45.94866705398668
71;402723.62;7466392.063;-22.907630022011208;-45.94853430919306
72;402737.279;7466386.375;-22.907682192812086;-45.94840149277922
73;402766.872;7466375.567;-22.907781536108622;-45.9481136429315
74;402781.669;7466371.017;-22.90782349400269;-45.94796965933989
75;402811.831;7466361.916;-22.90790745147351;-45.947676153989015
76;402842.563;7466354.521;-22.907976032430128;-45.947376983736945
77;402876.14;7466348.833;-22.908029360028745;-45.947049967534966
78;402908.01;7466343.145;-22.90808258778569;-45.946739594179554
79;402926.573;7466337.091;-22.908138347825865;-45.94655898586635
80;402949.338;7466329.697;-22.908206455006496;-45.946337492165824
81;402972.102;7466321.164;-22.908284849632786;-45.94611607937102
82;402985.76;7466316.045;-22.90833187901508;-45.94598323541681
83;402994.297;7466309.219;-22.90839402918519;-45.94590042783573
84;403004.541;7466300.687;-22.90847168752465;-45.94580108389101
85;403009.094;7466294.999;-22.908523327598413;-45.94575704869655
86;403010.232;7466285.898;-22.90860559674511;-45.94574652343711
87;403010.232;7466269.402;-22.908754593806282;-45.9457475569554
88;403012.508;7466262.008;-22.90882151084003;-45.94572582924812
89;403015.354;7466250.631;-22.908924436661465;-45.94569879356247
90;403019.338;7466239.255;-22.909027419492038;-45.94566066227728
91;403027.305;7466229.016;-22.90912036371902;-45.94558362543557
92;403031.289;7466224.466;-22.909161691945297;-45.94554506642678
93;403034.135;7466221.053;-22.909192684385403;-45.94551753168785
94;403038.118;7466214.227;-22.9092545700867;-45.94547912494978
95;403044.378;7466206.264;-22.909326857639748;-45.9454185885947
96;403055.191;7466198.3;-22.909399418357307;-45.94531366036767
97;403068.85;7466188.631;-22.909487544199674;-45.945181090199185
98;403086.492;7466177.823;-22.909586188753973;-45.94500975675652
99;403093.616;7466146.072;-22.909873386965142;-45.944942285156124
100;403084.109;7466139.756;-22.909929883686242;-45.94503537443004
101;403068.385;7466135.586;-22.90996663636671;-45.94518894557737
102;403052.433;7466120.634;-22.910100762077573;-45.945345415096966
103;403042.669;7466111.824;-22.91017977022774;-45.945441166674875
104;403041.817;7466102.599;-22.910263043882427;-45.945450051577254
105;403038.276;7466092.054;-22.910358084151383;-45.9454852371803
106;403022.852;7466077.635;-22.91048742596076;-45.945636525996655
107;403004.651;7466071.289;-22.910543688555613;-45.94581438528335
108;402983.115;7466070.966;-22.910545355697007;-45.94602438382615
109;402971.051;7466068.662;-22.91056546563284;-45.94614215353485
110;402956.677;7466060.209;-22.91064098100071;-45.94628283153184
111;402945.63;7466046.856;-22.910760947813248;-45.94639137827762
112;402938.359;7466037.493;-22.910845094978637;-45.94646285852755
113;402928.641;7466031.684;-22.910896999119014;-45.94655797455819
114;402923.252;7466030.875;-22.910903993169086;-45.94661056874725
115;402918.513;7466033.599;-22.910879113818027;-45.94665660376734
116;402915.029;7466040.68;-22.910814953602085;-45.946690129082654
117;402912.313;7466053.003;-22.910703490637292;-45.94671583748125
118;402909.66;7466065.406;-22.910591308744127;-45.94674092656646
