id;Easting_31983;Northing_31983;Latitude_4326;Longitude_4326
66;400647.06;7430351.365;-23.233029827879456;-45.971114522027776
67;400662.631;7430365.638;-23.232901856194594;-45.970961409292535
68;400678.726;7430374.621;-23.232821694618167;-45.97080352123383
69;400847.299;7430429.719;-23.232334224537862;-45.96915241445676
70;401029.97;7430472.443;-23.231959345405855;-45.96736434154453
71;401165.941;7430497.359;-23.23174248075612;-45.96603384461135
72;401193.366;7430509.511;-23.23163437248501;-45.96576502415713
73;401247.722;7430533.603;-23.231420039625558;-45.9652322262366
74;401281.018;7430559.799;-23.23118543827977;-45.964905116750714
75;401317.581;7430595.976;-23.230860884800588;-45.96454543165879
76;401349.811;7430641.956;-23.23044753093525;-45.96422745932843
77;401368.759;7430686.922;-23.230042538544357;-45.964039361172304
78;401373.101;7430736.145;-23.229598221630187;-45.96399373367248
79;401373.17;7430775.663;-23.229241303141286;-45.963990496203735
80;401367.609;7430820.552;-23.228835536829873;-45.96404193254423
81;401359.859;7430847.981;-23.228587336257487;-45.964115894243946
82;401348.356;7430869.119;-23.228395730339432;-45.964226941806125
83;401304.173;7430918.498;-23.227947094666003;-45.96465553697029
84;401223.595;7430979.725;-23.227389263707646;-45.96543904514756
85;401211.219;7430991.238;-23.227284536535368;-45.96555924682323
86;401181.174;7431026.545;-23.226963843352106;-45.96585057951583
87;401161.143;7431057.186;-23.22668589398634;-45.96604434869581
88;401151.145;7431082.361;-23.22645791543629;-45.96614042147008
89;401148.945;7431112.022;-23.22618988816656;-45.96615999387521
90;401155.579;7431140.391;-23.22593406072166;-45.96609331725508
91;401181.101;7431190.814;-23.2254801779939;-45.96584061964538
92;401214.433;7431232.518;-23.225105512732917;-45.9655121649837
93;401239.879;7431252.226;-23.22492903921316;-45.96526220804313
94;401263.359;7431261.984;-23.224842314752863;-45.96503211082823
95;401295.542;7431267.545;-23.2247940188261;-45.964717234265635
96;401327.631;7431268.601;-23.22478640535358;-45.964403568793735
97;401373.193;7431245.565;-23.224997195375874;-45.963959797612986
98;401415.358;7431218.147;-23.22524735851081;-45.96354950708838
99;401457.542;7431194.131;-23.225466795208746;-45.96313880891231
100;401503.049;7431177.697;-23.22561794983665;-45.9626951433517
101;401542.036;7431174.715;-23.22564721594168;-45.9623143246005
102;401546.942;7431174.53;-23.225649180351187;-45.96226639125159
103;401609.268;7431200.01;-23.22542277470973;-45.961655643741324
104;401639.596;7431224.836;-23.225200361379244;-45.96135764939724
105;401667.406;7431263.108;-23.22485635389633;-45.961083394527776
106;401685.108;7431301.541;-23.224510287941285;-45.96090791327493
107;401686.351;7431346.39;-23.224105289877517;-45.96089286695598
108;401681.839;7431393.504;-23.22367949072564;-45.96093391600776
109;401664.086;7431454.812;-23.22312470149974;-45.961103446563186
110;401638.553;7431515.136;-23.222578334588874;-45.961349070037905
111;401620.78;7431568.84;-23.222092222429026;-45.96151928485258
112;401614.146;7431612.602;-23.221696571237803;-45.96158128558805
113;401618.541;7431655.324;-23.221310972431386;-45.96153557258662
114;401634.089;7431700.21;-23.220906495035425;-45.961380727811715
115;401677.44;7431758.256;-23.220384818310187;-45.960953330852995
116;401717.375;7431799.915;-23.22001094240493;-45.960560378280015
117;401769.089;7431838.451;-23.219665975040854;-45.96005252087637
118;401827.761;7431861.944;-23.219457288120456;-45.959477640751
119;401856.154;7431871.217;-23.21937522809216;-45.95919957620879
120;401889.393;7431874.402;-23.21934844274094;-45.958874547805095
121;401946.041;7431873.436;-23.219360542739793;-45.958321026219224
122;401976.061;7431864.64;-23.219441775412378;-45.95802822704257
123;402004.938;7431844.912;-23.219621676545568;-45.957747301420596
124;402038.199;7431817.484;-23.219871383941722;-45.95742402870225
125;402101.444;7431761.551;-23.22038032933591;-45.956809573175825
126;402149.271;7431718.86;-23.22076875518062;-45.956344933120384
127;402175.868;7431702.48;-23.220918279042323;-45.956086068367306
128;402201.394;7431684.874;-23.22107881200991;-45.95583774816603
129;402219.102;7431680.589;-23.221118565842666;-45.95566497250845
130;402243.564;7431682.667;-23.221101250427353;-45.955425784496676
131;402280.211;7431702.539;-23.220923943843783;-45.9550663758742
132;402310.097;7431741.86;-23.220570573077868;-45.95477179090221
133;402327.942;7431791.202;-23.220125978263358;-45.9545942338722
134;402321.292;7431856.873;-23.219532447421816;-45.954655004207204
135;402311.352;7431905.059;-23.219096644711207;-45.95474904769843
136;402292.507;7431987.25;-23.2183531824349;-45.95492792934401
137;402285.846;7432061.825;-23.2176792303851;-45.9549882334001
138;402291.362;7432112.177;-23.21722478163482;-45.95493109648744
139;402321.326;7432177.911;-23.21663285418338;-45.95463406264544
140;402366.824;7432238.209;-23.216090944897754;-45.95418558019586
141;402396.847;7432259.026;-23.21590470702261;-45.953890856607806
142;402426.78;7432266.634;-23.215837766168168;-45.95359786025324
143;402454.541;7432268.79;-23.21581993823703;-45.95332643864703
144;402497.838;7432261.207;-23.215890992043676;-45.952903821687364
145;402556.631;7432241.384;-23.21607351293242;-45.952330559287475
146;402605.515;7432221.727;-23.21625394634095;-45.95185411676927
147;402643.184;7432215.212;-23.216315017350993;-45.95148642682995
148;402703.545;7432222.238;-23.216255127032174;-45.950896121081314
149;402719.667;7432225.819;-23.216223736271775;-45.950738345670025
150;402800.169;7432248.426;-23.216024305439745;-45.949950224687214
151;402811.167;7432257.189;-23.215945807676082;-45.949842191154104
152;402830.824;7432276.36;-23.21577381630948;-45.949648876396
153;402859.761;7432309.256;-23.215478408639445;-45.94936400094292
154;402869.737;7432344.406;-23.21516152395059;-45.94926427109512
155;402877.512;7432383.806;-23.214806123532;-45.94918577878517
156;402898.536;7432429.821;-23.214391758018124;-45.9489773954167
157;402933.061;7432484.558;-23.213899411353463;-45.94863652554618
158;402972.958;7432544.824;-23.21335744267567;-45.94824281085932
159;402981.789;7432577.646;-23.213061515997047;-45.9481544226376
160;402981.782;7432620.364;-23.212675688279486;-45.94815176805211
161;402974.038;7432673.005;-23.21219978054619;-45.948224085865746
162;402960.726;7432715.709;-23.211813295279367;-45.94835144624263
163;402936.334;7432757.352;-23.21143573980646;-45.94858714510636
164;402900.87;7432789.13;-23.211146631525313;-45.94893166500413
165;402864.093;7432804.47;-23.211005912445035;-45.94929006269897
166;402838.651;7432814.275;-23.21091585324579;-45.94953805008344
167;402826.435;7432827.493;-23.210795748043637;-45.94965657806372
168;402821.894;7432846.094;-23.210627476620363;-45.9496997640741
169;402828.608;7432866.861;-23.21044030607532;-45.949632830957384
170;402854.147;7432895.375;-23.21018427542405;-45.94938145119647
171;402880.838;7432921.715;-23.209947947749235;-45.94911895411273
172;402889.729;7432939.232;-23.209790259145528;-45.94903095656001
173;402887.612;7432956.89;-23.209630647930062;-45.94905051672671
174;402876.783;7432991.849;-23.20931426100148;-45.949154103701765
175;402862.569;7433026.129;-23.209003807073476;-45.94929081047224
176;402839.185;7433058.992;-23.208705610400315;-45.94951721261143
177;402808.155;7433085.172;-23.208467322854503;-45.949818753874986
178;402762.642;7433106.109;-23.208275534366113;-45.95026215045373
179;402680.395;7433123.578;-23.208112897440767;-45.951064715472
180;402622.769;7433123.62;-23.20810911219408;-45.95162780806888
181;402539.413;7433120.255;-23.208134574516777;-45.952442540534626
182;402487.318;7433114.825;-23.20818053464869;-45.952951937061805
183;402471.36;7433112.748;-23.208198349168526;-45.95310800450108
184;402454.686;7433111.354;-23.20820995230449;-45.953271024644586
185;402448.261;7433112.303;-23.20820100045851;-45.95333374604793
186;402441.319;7433113.941;-23.208185794949934;-45.95340147518051
187;402435.24;7433117.199;-23.20815600877001;-45.953460667632655
188;402428.581;7433123.845;-23.20809558795591;-45.95352531041709
189;402417.524;7433138.791;-23.207959941358784;-45.953632396360796
190;402407.209;7433160.457;-23.207763643940396;-45.95373180085159
191;402400.063;7433183.498;-23.207555115311127;-45.95380015102283
192;402397.07;7433204.337;-23.207366721107796;-45.95382806117618
193;402397.978;7433216.764;-23.2072545348399;-45.95381839200671
194;402400.747;7433226.633;-23.207165562575202;-45.95379070212819
195;402415.082;7433255.083;-23.20690945284078;-45.9536488045564
196;402446.699;7433301.648;-23.20649075269363;-45.95333687689065
197;402480.069;7433345.954;-23.206092558811726;-45.953007966624504
198;402501.166;7433376.164;-23.205820952251905;-45.9527998849623
199;402507.869;7433393.129;-23.205668121827234;-45.952733301154936
200;402511.756;7433410.728;-23.205509398453838;-45.952694193052054
201;402513.282;7433430.873;-23.20532753997874;-45.95267799218697
202;402512.208;7433446.754;-23.205184039899102;-45.95268746983231
203;402509.56;7433457.196;-23.205089571485498;-45.952712675760296
204;402504.548;7433470.384;-23.204970161402432;-45.95276080522901
205;402491.855;7433486.792;-23.204821213771503;-45.952883781832114
206;402491.227;7433487.978;-23.20481046469749;-45.9528898422641
207;402407.523;7433546.03;-23.20428118490045;-45.95370401882767
208;402350.964;7433577.211;-23.20399620794149;-45.954254672155315
209;402302.78;7433588.38;-23.203892473267953;-45.954724773044944
210;402247.103;7433594.871;-23.203830544092398;-45.95526838923415
211;402214.245;7433592.496;-23.203850044956816;-45.95558960469228
212;402184.383;7433586.09;-23.203906130846537;-45.95588180455189
213;402150.751;7433574.092;-23.204012498930723;-45.956211201513874
214;402124.126;7433561.959;-23.20412050193704;-45.95647214054386
215;402032.002;7433523.072;-23.204466251355026;-45.95737480836997
216;401960.393;7433492.471;-23.204738377787063;-45.95807648916884
217;401908.384;7433466.434;-23.20497044641552;-45.958586361162624
218;401874.617;7433455.934;-23.20506327077334;-45.958916985277476
219;401840.497;7433443.425;-23.205174218553864;-45.959251188608626
220;401701.703;7433393.933;-23.20561295091947;-45.96061058297433
221;401634.516;7433383.645;-23.205701860838516;-45.96126775461162
222;401591.576;7433380.332;-23.20572921895098;-45.96168755027789
223;401561.787;7433383.531;-23.205698545927405;-45.96197842207978
224;401513.092;7433395.189;-23.205590341024525;-45.96245348353211
225;401483.443;7433413.698;-23.205421396111774;-45.96274199624395
226;401443.171;7433449.965;-23.20509142614642;-45.963133159406325
227;401396.485;7433507.89;-23.204565457826376;-45.96358559110133
228;401379.67;7433533.705;-23.204331292017937;-45.96374822284785
229;401364.368;7433567.459;-23.204025512155322;-45.96389555593727
230;401331.711;7433654.127;-23.203240777325696;-45.964209038950735
231;401310.547;7433694.646;-23.20287354492334;-45.96441320986377
232;401284.299;7433738.646;-23.202474567518625;-45.96466683033768
233;401241.7;7433788.764;-23.202019352364896;-45.965079819382524
234;401201.714;7433808.63;-23.201837526767846;-45.96546923646071
235;401168.908;7433808.257;-23.201838928116533;-45.96578980979521
236;401141.499;7433795.406;-23.20195335302628;-45.96605845872953
237;401100.56;7433779.334;-23.20209605717062;-45.96645951980899
238;401058.652;7433770.443;-23.202173843826273;-45.96686958334352
239;401034.509;7433776.076;-23.202121516956645;-45.9671051202917
240;401008.78;7433793.777;-23.20196009720796;-45.967355369527795
241;400959.279;7433835.329;-23.201581827889523;-45.967836344322414
242;400920.766;7433898.849;-23.201005804720133;-45.96820852354191
243;400905.411;7433939.105;-23.200641292275716;-45.96835593779044
244;400888.538;7433967.32;-23.200385441759153;-45.96851896709001
245;400860.719;7434001.579;-23.200074343597848;-45.968788554851905
246;400822.915;7434026.499;-23.199846993144977;-45.96915631182609
247;400791.88;7434031.67;-23.199798420807774;-45.96945921479033
248;400752.084;7434026.53;-23.19984244833116;-45.96984839213654
249;400709.533;7434002.417;-23.200057671434557;-45.97026572535743
250;400649.237;7433945.971;-23.200563852421563;-45.970858554016814
251;400595.056;7433884.768;-23.201113364739346;-45.97139194807161
252;400502.903;7433834.374;-23.201562956488818;-45.972295665531085
253;400409.633;7433839.878;-23.20150760975524;-45.97320664782638
254;400317.535;7433850.813;-23.201403276402093;-45.97410582208258
255;400238.707;7433842.051;-23.201477642880665;-45.97487662398293
256;400145.428;7433822.445;-23.201649071727804;-45.975789338329164
257;400066.619;7433791.674;-23.201922214069846;-45.9765614007877
258;400011.085;7433770.856;-23.202106870750683;-45.97710539172671
259;399975.611;7433747.91;-23.20231196335347;-45.977453516591424
260;399938.422;7433704.314;-23.202703459590378;-45.97781975668941
261;399910.29;7433683.942;-23.202885748476756;-45.978095975619276
262;399865.345;7433663.774;-23.20306517253031;-45.97853646344823
263;399821.361;7433624.12;-23.203420649145865;-45.97896884425097
264;399795.565;7433598.001;-23.203654984245944;-45.979222618955
265;399766.928;7433569.314;-23.203912339936284;-45.97950432344387
266;399729.144;7433525.504;-23.20430572757572;-45.97987640182279
267;399695.853;7433494.806;-23.204580961741932;-45.980203716599455
268;399674.875;7433485.007;-23.204668187744794;-45.980409342626636
269;399641.394;7433475.114;-23.204755500816955;-45.98073714467453
270;399619.184;7433475.09;-23.20475436437522;-45.98095416504721
271;399584.84;7433480.583;-23.20470265915386;-45.9812893855505
272;399574.733;7433484.947;-23.20466262791668;-45.98138785540295
273;399566.099;7433490.446;-23.204612435238325;-45.98147185734384
274;399560.599;7433494.618;-23.204574418905118;-45.9815253237979
275;399552.144;7433501.022;-23.204516063218378;-45.98160751688676
276;399544.859;7433512.955;-23.204407841565544;-45.981677912855346
277;399540.472;7433525.057;-23.204298270221184;-45.981719980672025
278;399537.613;7433535.995;-23.20419930515798;-45.98174719486024
279;399536.068;7433546.363;-23.204105568394844;-45.98176160730003
280;399536.031;7433560.668;-23.203976365075707;-45.98176102506727
281;399537.096;7433574.899;-23.203847897315907;-45.9817496799141
282;399542.615;7433599.64;-23.20362477607514;-45.98169412078839
283;399550.515;7433621.036;-23.203432011625768;-45.98161551747207
284;399556.132;7433637.375;-23.20328478216681;-45.981559555381295
285;399562.221;7433654.927;-23.2031266257821;-45.98149890145724
286;399575.482;7433699.259;-23.202727032709056;-45.98136640344956
287;399587.718;7433808.295;-23.20174297791633;-45.98123965544487
288;399587.41;7433823.803;-23.20160289266526;-45.98124164243711
289;399725.456;7433937.608;-23.200583425826082;-45.97988530325591
290;401089.056;7435170.558;-23.18952992624885;-45.96648160075926
291;401397.687;7435453.514;-23.186992770716213;-45.963447920459124
292;401512.759;7435566.421;-23.185979877676015;-45.96231637381371
293;401669.79;7435736.21;-23.184455722544087;-45.96077124235608
294;401948.848;7436010.547;-23.181994536433592;-45.958027255138724
295;402713.855;7436785.43;-23.175041104357643;-45.95050397298954
296;403060.273;7437127.147;-23.17197510603689;-45.94709804498847
297;403252.728;7437257.097;-23.17081269170739;-45.945209722482055
298;403449.994;7437362.982;-23.169867890626463;-45.943275957439624
299;403635.525;7437411.134;-23.169443825655513;-45.94146050137402
300;403791.601;7437415.924;-23.169409669324274;-45.93993552862653
301;404385.133;7437302.289;-23.170470523960326;-45.93414456699112
302;404613.68;7437253.695;-23.170922655116158;-45.9319149600433
303;405186.768;7437138.601;-23.171995221839055;-45.926323667367605
304;405480.456;7437077.482;-23.172564103610096;-45.923458416211524
305;405843.201;7437000.489;-23.173280251744078;-45.91991949440542
306;406194.833;7436930.638;-23.17393118246856;-45.91648865763756
307;406351.996;7436897.301;-23.174241213967324;-45.91495535300402
308;406509.394;7436866.736;-23.174526207098896;-45.91341957509955
309;406455.431;7436731.874;-23.175741234142258;-45.91395502264198
310;406442.455;7436633.065;-23.176632950118048;-45.91408785050693
311;406338.423;7436445.808;-23.178318367945725;-45.915115677854864
312;406256.546;7436274.558;-23.1798604607576;-45.91592610177806
313;406258.036;7436186.699;-23.18065409508302;-45.9159169466097
314;406338.423;7436101.817;-23.181425323487744;-45.91513680766916
315;406466.447;7436006.513;-23.182293383141143;-45.91389189665612
316;406609.357;7435923.121;-23.18305468625594;-45.91250080580211
317;406706.119;7435890.361;-23.183356054560956;-45.9115574614947
318;406759.71;7435814.415;-23.184045036688627;-45.911038529852426
319;406798.508;7435672.409;-23.18532984094957;-45.91066815903277
320;406747.521;7435591.708;-23.18605585661859;-45.91117123938045
321;406702.431;7435553.542;-23.186398024408152;-45.911614107355234
322;406631.575;7435548.09;-23.186443256382844;-45.91230671016419
323;406552.296;7435552.055;-23.186402952816398;-45.91308102941405
324;406466.575;7435654.161;-23.185475862665616;-45.913912264732694
325;406406.62;7435862.337;-23.18359219826686;-45.914485244229205
